Column1,Column2,Column3,Column4,Column5,Column6,Column7
Part,Value,Device,Package,Description,,
C1,0.1uF 16V,C-USC0805,C0805,"CAPACITOR, American symbol",,
C2,1uF 16V,C-USC0805,C0805,"CAPACITOR, American symbol",,
C3,0.1uF 16V,C-USC0805,C0805,"CAPACITOR, American symbol",,
C4,0.1 uF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - ANSI,,
C5,0.1 uF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - ANSI,,
C6,22 nF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - ANSI,,
F1,350 mA,CHIP_FUSE1812,F1812,,,
J1,MAIN_PWR,PJ-037A,PJ-037A,,,
LED1,ORANGE,LEDCHIP-LED0603,CHIP-LED0603,LED,,
LED2,GREEN,LEDCHIP-LED0603,CHIP-LED0603,LED,,
LED3,ORANGE,LEDCHIP-LED0603,CHIP-LED0603,LED,,
LED4,GREEN,LEDCHIP-LED0603,CHIP-LED0603,LED,,
OUT,1X2-3.5MM,1X2-3.5MM,1X2-3.5MM,3.5mm Terminal block,,
Q2,ARDUINOR3-NOIOREF-NOTEXT,ARDUINOR3-NOIOREF-NOTEXT,ARDUINOR3-NOTEXT-NOIOREF,,,
R1,1K,R-US_R0603,R0603,"RESISTOR, American symbol",,
R2,2.4K,R-US_R0603,R0603,"RESISTOR, American symbol",,
R3,1K,R-US_R0603,R0603,"RESISTOR, American symbol",,
R6,10K,R-US_R0603,R0603,"RESISTOR, American symbol",,
R7,2.4K,R-US_R0603,R0603,"RESISTOR, American symbol",,
R8,10k,R-US_R0603,R0603,"RESISTOR, American symbol",,
S1,EG1903-ND,EG1218S,EG1218,SLIDING SWITCH,,
SW1,PTS645,PTS645,PTS645,,,
U2,DRV8876PWPRPWP0016J_NV,DRV8876PWPRPWP0016J_NV,PWP0016J_NV,,,
