Part,Value,Device,Package,Description,,,MFR Part #,
C1,0.1uF 16V,C-USC0805,C0805,"CAPACITOR, American symbol",,,80-C603C104K5RAC3121,https://www.mouser.com/ProductDetail/KEMET/C0603C104K5RAC3121?qs=sGAEpiMZZMukHu%252BjC5l7YRl5%2F3CONb6bXdP%252B0rhis3A%3D
C2,1uF 16V,C-USC0805,C0805,"CAPACITOR, American symbol",,,581-06035C105KAT2A,https://www.mouser.com/ProductDetail/Kyocera-AVX/06033C105KAT2A?qs=sGAEpiMZZMukHu%252BjC5l7YaLKbGg%2F0DQea1CXj2kKaFw%3D
C3,0.1uF 16V,C-USC0805,C0805,"CAPACITOR, American symbol",,,80-C603C104K5RAC3121,https://www.mouser.com/ProductDetail/KEMET/C0603C104K5RAC3121?qs=sGAEpiMZZMukHu%252BjC5l7YRl5%2F3CONb6bXdP%252B0rhis3A%3D
C4,0.1 uF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - ANSI,,,80-C603C104K5RAC3121,https://www.mouser.com/ProductDetail/KEMET/C0603C104K5RAC3121?qs=sGAEpiMZZMukHu%252BjC5l7YRl5%2F3CONb6bXdP%252B0rhis3A%3D
C5,0.1 uF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - ANSI,,,80-C603C104K5RAC3121,https://www.mouser.com/ProductDetail/KEMET/C0603C104K5RAC3121?qs=sGAEpiMZZMukHu%252BjC5l7YRl5%2F3CONb6bXdP%252B0rhis3A%3D
C6,22 nF,C-US_CHIP-0603(1608-METRIC),CAPC1608X85,Capacitor - ANSI,,,603-AC603KRX7R9BB223,https://www.mouser.com/ProductDetail/YAGEO/AC0603KRX7R9BB223?qs=sGAEpiMZZMukHu%252BjC5l7YSpyG8twyQQcWYd9pMYaHAU%3D
F1,350 mA,CHIP_FUSE1812,F1812,,,,576-1812L035/60MR,https://www.mouser.com/ProductDetail/Littelfuse/1812L035-60MR?qs=lM4gFlnEeEOrla%2FeqRq7dw%3D%3D
J1,MAIN_PWR,PJ-037A,PJ-037A,,,,490-PJ-037A,https://www.mouser.com/ProductDetail/CUI-Devices/PJ-037A?qs=WyjlAZoYn53bdNRXfildEA%3D%3D
LED1,ORANGE,LEDCHIP-LED0603,CHIP-LED0603,LED,,,630-HSMD-C170,https://www.mouser.com/ProductDetail/Broadcom-Avago/HSMD-C170?qs=YDL0qNrpDT4ezzhiORGBuA%3D%3D
LED2,GREEN,LEDCHIP-LED0603,CHIP-LED0603,LED,,,630-HSMG-C190,https://www.mouser.com/ProductDetail/Broadcom-Avago/HSMG-C190?qs=YDL0qNrpDT605sxOaps8VQ%3D%3D
